DATE,city,precipitation
2018-01-01,ATL,0.0
2018-01-01,SEA,0.0
2018-01-02,ATL,0.0
2018-01-02,SEA,0.0
2018-01-03,ATL,0.0
2018-01-03,SEA,0.0
2018-01-04,ATL,0.0
2018-01-04,SEA,0.0
2018-01-05,ATL,0.0
2018-01-05,SEA,0.25
2018-01-06,ATL,0.0
2018-01-06,SEA,0.57
2018-01-07,ATL,0.0
2018-01-07,SEA,0.23
2018-01-08,ATL,0.27
2018-01-08,SEA,0.41
2018-01-09,ATL,0.0
2018-01-09,SEA,0.1475
2018-01-10,ATL,0.0
2018-01-10,SEA,0.1725
2018-01-11,ATL,0.06
2018-01-11,SEA,0.2975
2018-01-12,ATL,0.52
2018-01-12,SEA,0.5900000000000001
2018-01-13,ATL,0.0
2018-01-13,SEA,0.3425
2018-01-14,ATL,0.0
2018-01-14,SEA,0.0525
2018-01-15,ATL,0.0
2018-01-15,SEA,0.052500000000000005
2018-01-16,ATL,0.01
2018-01-16,SEA,0.025
2018-01-17,ATL,0.14
2018-01-17,SEA,0.045
2018-01-18,ATL,0.0
2018-01-18,SEA,0.155
2018-01-19,ATL,0.0
2018-01-19,SEA,0.09000000000000001
2018-01-20,ATL,0.0
2018-01-20,SEA,0.05500000000000001
2018-01-21,ATL,0.0
2018-01-21,SEA,0.1
2018-01-22,ATL,0.83
2018-01-22,SEA,0.1975
2018-01-23,ATL,0.0
2018-01-23,SEA,0.2875
2018-01-24,ATL,0.0
2018-01-24,SEA,0.29333333333333333
2018-01-25,ATL,0.0
2018-01-25,SEA,0.18666666666666668
2018-01-26,ATL,0.0
2018-01-26,SEA,0.07
2018-01-27,ATL,0.06
2018-01-27,SEA,0.065
2018-01-28,ATL,1.35
2018-01-28,SEA,0.2975
2018-01-29,ATL,0.02
2018-01-29,SEA,0.055
2018-01-30,ATL,0.0
2018-01-30,SEA,0.0825
2018-01-31,ATL,0.0
2018-01-31,SEA,0.1775
2018-02-01,ATL,0.08
2018-02-01,SEA,0.5199999999999999
2018-02-02,ATL,0.01
2018-02-02,SEA,0.27749999999999997
2018-02-03,ATL,0.0
2018-02-03,SEA,0.145
2018-02-04,ATL,1.43
2018-02-04,SEA,0.1075
2018-02-05,ATL,0.0
2018-02-05,SEA,0.21
2018-02-06,ATL,0.0
2018-02-06,SEA,0.35000000000000003
2018-02-07,ATL,1.68
2018-02-07,SEA,0.16249999999999998
2018-02-08,ATL,0.0
2018-02-08,SEA,0.0975
2018-02-09,ATL,0.55
